Temp/Freq,100,200,300,500,600,800,1000,1500,2000,3000,5000,7000,9000,10000,15000,20000,30000,40000,50000,60000,70000,90000,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,2000000
370,264.632,17.674,12.855,12.432,11.491,11.664,11.659,11.671,11.677,11.696,11.755,11.78,11.76,11.801,11.734,11.565,11.335,11.121,10.926,None,None,10.279,10.15,9.232,None,8.292,8.013,7.798,7.629,7.498,7.389,7.298,7.025,
371,-116.78,14.67,12.075,11.896,12.568,11.448,11.4,11.632,11.629,11.768,None,11.768,None,11.753,11.699,11.568,11.35,11.091,10.92,None,10.575,10.28,10.148,9.23,8.68,8.295,8.012,7.801,None,7.495,7.388,7.298,7.024,
372,-254.524,12.275,12.945,12.137,10.988,11.744,11.679,11.613,11.638,11.722,11.781,11.807,11.817,11.783,11.708,11.574,11.353,None,10.928,10.75,10.575,10.278,10.148,9.232,8.685,8.297,8.012,7.8,7.628,7.496,None,7.297,7.024,
373,-126.308,8.132,11.925,11.06,12.344,11.962,11.759,11.672,11.641,11.732,11.763,11.78,11.77,11.787,None,11.577,11.348,11.104,10.928,10.698,10.571,10.279,10.148,9.244,8.688,8.301,8.012,7.798,7.627,7.494,7.387,7.297,7.023,
374,-138.931,17.332,12.738,13.101,12.458,11.69,11.753,11.699,11.727,11.715,11.817,11.822,11.823,11.792,None,11.578,11.345,11.122,10.925,10.749,10.575,10.279,10.149,9.24,8.686,8.3,8.012,7.799,7.627,7.493,7.387,7.298,7.022,
375,25.776,12.486,9.754,12.517,12.114,12.17,11.716,11.692,11.705,11.752,11.813,11.795,11.782,11.792,None,11.57,11.34,11.121,10.929,10.759,10.576,10.281,10.152,9.238,8.688,8.295,8.012,7.8,7.627,7.492,7.386,7.297,7.023,
376,261.914,7.446,12.877,13.071,12.51,11.945,11.807,11.682,11.733,11.76,11.743,11.834,11.817,None,11.732,11.584,11.348,11.099,10.931,10.7,10.581,10.282,10.152,9.218,8.679,8.298,8.013,7.8,7.628,7.497,7.388,7.298,7.023,
377,None,None,14.359,12.971,12.026,12.136,11.81,11.719,11.708,11.771,11.848,11.807,11.845,11.818,None,11.597,11.345,11.119,10.928,10.774,10.576,10.282,10.154,9.233,8.686,8.298,8.015,7.8,7.63,7.498,7.388,7.299,7.024,
378,None,12.85,14.346,12.332,12.027,11.825,11.951,11.78,11.759,11.81,11.864,11.848,11.816,None,11.733,11.584,11.35,11.113,10.936,10.776,10.58,10.286,10.155,9.228,8.695,8.296,8.016,7.801,7.63,7.498,None,None,None,
379,351.163,14.54,12.082,11.779,12.321,12.28,12.032,11.723,11.797,11.816,11.817,11.791,11.794,11.818,11.742,None,11.347,11.131,10.935,10.778,10.581,10.285,10.154,9.231,8.694,8.298,8.014,None,None,None,None,7.3,None,
